typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1213","Cereal straw and husks, unprepared; whether or not chopped, ground, pressed or in the form of pellets","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1764530","false","-1","N/A",,"false","1764530","false",,"false",,"145556","145556","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2058836","false","-1","N/A",,"false","2058836","false",,"false",,"972710","972710","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","479883","false","-1","N/A",,"false","479883","false",,"false",,"371232","371232","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1204","Oil seeds; linseed, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2794","false","-1","N/A",,"false","2794","false",,"false",,"24515","24515","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1206","Sunflower seeds; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","412","false","-1","N/A",,"false","412","false",,"false",,"5557","5557","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1207","Oil seeds and oleaginous fruits, others n.e.s. in chapter 12; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20434816","false","-1","N/A",,"false","20434816","false",,"false",,"15499213","15499213","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1208","Flours and meals of oil seeds or oleaginous fruits; other than those of mustard","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","108093","false","-1","N/A",,"false","108093","false",,"false",,"88780","88780","0","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1209","Seeds, fruit and spores; of a kind used for sowing","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1427229","true","-1","N/A",,"false","1427229","true",,"false",,"9055073","9055073","6","true","false",
"C","A","20030101","2003","52","2003","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1213","Cereal straw and husks, unprepared; whether or not chopped, ground, pressed or in the form of pellets","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1821672","false","-1","N/A",,"false","1821672","false",,"false",,"89379","89379","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3314607","false","-1","N/A",,"false","3314607","false",,"false",,"1679463","1679463","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1371243","false","-1","N/A",,"false","1371243","false",,"false",,"19055","19055","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1204","Oil seeds; linseed, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","71442","false","-1","N/A",,"false","71442","false",,"false",,"42873","42873","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1206","Sunflower seeds; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176281","false","-1","N/A",,"false","176281","false",,"false",,"18150","18150","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1207","Oil seeds and oleaginous fruits, others n.e.s. in chapter 12; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28815849","false","-1","N/A",,"false","28815849","false",,"false",,"21096504","21096504","0","true","false",
"C","A","20040101","2004","52","2004","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","1208","Flours and meals of oil seeds or oleaginous fruits; other than those of mustard","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","904328","false","-1","N/A",,"false","904328","false",,"false",,"199227","199227","0","true","false",
