period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1990,0201,289368,2680899643,26344665088,5506762919445,0.022561794708760238,FALSE,02
1990,0202,18057540,2982380183,26344665088,5506762919445,1.265608194497285,TRUE,02
1990,0203,2435859,2661423667,26344665088,5506762919445,0.19131183106825297,FALSE,02
1990,0205,2165488,78530750,26344665088,5506762919445,5.763943748129907,TRUE,02
1990,0206,44379,293445408,26344665088,5506762919445,0.03161213963721701,FALSE,02
1990,0207,12055562,893450544,26344665088,5506762919445,2.820464519306542,TRUE,02
1990,0208,422126,90512355,26344665088,5506762919445,0.9748503124130022,FALSE,02
1990,0210,38,583496464,26344665088,5506762919445,1.3612850203474156e-5,FALSE,02
1991,0201,188103,3717534489,26956705792,7665683262709,0.014388806349524485,FALSE,02
1991,0202,8353764,4002752491,26956705792,7665683262709,0.5934819534492997,FALSE,02
1991,0203,4893777,3047093966,26956705792,7665683262709,0.45671195541444487,FALSE,02
1991,0205,5953095,225780188,26956705792,7665683262709,7.4979240130176414,TRUE,02
1991,0206,58313,803375466,26956705792,7665683262709,0.020641006570968415,FALSE,02
1991,0207,11854745,1832033522,26956705792,7665683262709,1.8401060472829533,TRUE,02
1991,0208,32438,112889121,26956705792,7665683262709,0.08171203565403921,FALSE,02
1991,0210,62685,658430504,26956705792,7665683262709,0.027073084537856902,FALSE,02
1992,0201,146000,6245054804,184779539480,9822734094946,0.001242782442693137,FALSE,02
1992,0202,3513000,4769904297,184779539480,9822734094946,0.03915137251977974,FALSE,02
1992,0203,15503000,5996649313,184779539480,9822734094946,0.13743128350666228,FALSE,02
1992,0205,6263000,237606007,184779539480,9822734094946,1.401210887000168,TRUE,02
1992,0206,806000,1193417069,184779539480,9822734094946,0.03590222001286455,FALSE,02
1992,0207,18829000,3417626800,184779539480,9822734094946,0.29287420727782043,FALSE,02
1992,0208,36000,307137352,184779539480,9822734094946,0.006230865439277176,FALSE,02
1992,0209,36000,67840099,184779539480,9822734094946,0.02820944456003681,FALSE,02
1992,0210,26000,1151345662,184779539480,9822734094946,0.0012004556674205232,FALSE,02
1993,0201,547000,6819964689,207545660288,11315396833376,0.004372817302432414,FALSE,02
1993,0202,3304000,4539056122,207545660288,11315396833376,0.03968538689777491,FALSE,02
1993,0203,18503000,5458160168,207545660288,11315396833376,0.18482129357591287,FALSE,02
1993,0205,6521000,296803035,207545660288,11315396833376,1.1978487807179887,TRUE,02
1993,0206,3532000,1230298177,207545660288,11315396833376,0.15651877741459994,FALSE,02
1993,0207,3145000,3937211930,207545660288,11315396833376,0.04354998300961646,FALSE,02
1993,0208,38000,336233933,207545660288,11315396833376,0.0061616665001939215,FALSE,02
1993,0209,25000,50406425,207545660288,11315396833376,0.027040221470233775,FALSE,02
1993,0210,977000,875599509,207545660288,11315396833376,0.06083383378990478,FALSE,02
1994,0201,1699993,8883164750,242474249720,15033279859979,0.011864994317306424,FALSE,02
1994,0202,3650441,5363085887,242474249720,15033279859979,0.04220060719406866,FALSE,02
1994,0203,22917128,6843053710,242474249720,15033279859979,0.20763394709205873,FALSE,02
1994,0204,31668,1931304372,242474249720,15033279859979,0.0010166185521587427,FALSE,02
1994,0205,6435235,273138717,242474249720,15033279859979,1.4607276970942265,TRUE,02
1994,0206,3389817,1387267613,242474249720,15033279859979,0.15149703184301128,FALSE,02
1994,0207,1115661,6417945948,242474249720,15033279859979,0.010777655928192999,FALSE,02
1994,0208,1843,484168904,242474249720,15033279859979,2.3600247645809148e-4,FALSE,02
1994,0209,23593,108661564,242474249720,15033279859979,0.013461558232171404,FALSE,02
1994,0210,2091878,1328017953,242474249720,15033279859979,0.09766085555355573,FALSE,02
1995,0201,1330000,10020756192,318162623824,18689760662247,0.00779660847418163,FALSE,02
1995,0202,4428000,5552956066,318162623824,18689760662247,0.046842272386358595,FALSE,02
1995,0203,38962000,9438637079,318162623824,18689760662247,0.2424859247982582,FALSE,02
1995,0204,310000,2087754964,318162623824,18689760662247,0.008722415066508865,FALSE,02
1995,0205,9383000,381000571,318162623824,18689760662247,1.446673979621152,TRUE,02
1995,0206,3467000,1754479902,318162623824,18689760662247,0.11608070161764682,FALSE,02
