period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1990,52,149387184,9253092477,26344665088,5506762919445,3.3746608687832214,TRUE,52
1990,5201,91779048,1898696980,26344665088,5506762919445,10.103959259594053,TRUE,52
1990,5203,856736,13700786,26344665088,5506762919445,13.070892139840218,TRUE,52
1990,5204,754824,36362606,26344665088,5506762919445,4.339047431263628,TRUE,52
1990,5207,537961,144147748,26344665088,5506762919445,0.7800934436173473,FALSE,52
1990,5208,22308430,2956498246,26344665088,5506762919445,1.5772301807387745,TRUE,52
1990,5209,23034840,1268059833,26344665088,5506762919445,3.797074789891249,TRUE,52
1990,5210,1439433,627159171,26344665088,5506762919445,0.479752641999905,FALSE,52
1990,5211,1716849,173120233,26344665088,5506762919445,2.0729459068036067,TRUE,52
1990,5212,1890893,119299194,26344665088,5506762919445,3.3130893013707503,TRUE,52
1991,52,142524576,12339365734,26956705792,7665683262709,3.2845885374441366,TRUE,52
1991,5201,76692688,4245193151,26956705792,7665683262709,5.137366586444231,TRUE,52
1991,5203,272245,21286981,26956705792,7665683262709,3.6368877060050226,TRUE,52
1991,5204,175278,58314077,26956705792,7665683262709,0.854747924910252,FALSE,52
1991,5207,1193091,188699717,26956705792,7665683262709,1.7979862775167796,TRUE,52
1991,5208,12820688,3167022468,26956705792,7665683262709,1.151182659332854,TRUE,52
1991,5209,32185416,1679183458,26956705792,7665683262709,5.450609032087017,TRUE,52
1991,5210,480732,672070910,26956705792,7665683262709,0.20340985312711868,FALSE,52
1991,5211,867640,242734769,26956705792,7665683262709,1.0164631275962237,TRUE,52
1991,5212,1257245,149382996,26956705792,7665683262709,2.3933312077096587,TRUE,52
1992,52,86241000,15523845521,184779539480,9822734094946,0.2953200808184182,FALSE,52
1992,5201,31395000,3543598849,184779539480,9822734094946,0.47097129978152064,FALSE,52
1992,5203,31000,30912250,184779539480,9822734094946,0.05331011066479863,FALSE,52
1992,5204,538000,157041856,184779539480,9822734094946,0.18211485132984312,FALSE,52
1992,5207,906000,240677168,184779539480,9822734094946,0.2001113917218176,FALSE,52
1992,5208,4505000,5048514571,184779539480,9822734094946,0.04743617783732421,FALSE,52
1992,5209,33150000,2417066414,184779539480,9822734094946,0.7290770980911143,FALSE,52
1992,5210,946000,991965834,184779539480,9822734094946,0.05069591075297619,FALSE,52
1992,5211,3043000,401865244,184779539480,9822734094946,0.40253163059377756,FALSE,52
1992,5212,897000,204863534,184779539480,9822734094946,0.2327588967894292,FALSE,52
1993,52,60544000,17707550179,207545660288,11315396833376,0.18640980911383942,FALSE,52
1993,5201,9227000,3060029848,207545660288,11315396833376,0.16439590314725866,FALSE,52
1993,5203,51000,32042682,207545660288,11315396833376,0.08677556475660703,FALSE,52
1993,5204,723000,108015193,207545660288,11315396833376,0.3649300140445734,FALSE,52
1993,5207,1627000,155681610,207545660288,11315396833376,0.5697789114630764,FALSE,52
1993,5208,1985000,6213556762,207545660288,11315396833376,0.017417121183531347,FALSE,52
1993,5209,36353000,3778421846,207545660288,11315396833376,0.5245488574272631,FALSE,52
1993,5210,1363000,1020825938,207545660288,11315396833376,0.07279478906020818,FALSE,52
