_id,pais_de_origen,sector_subsector_rama,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
199624,Polonia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,0,0.0
197489,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,0,0.0
196641,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,20.823296729999999,20.82329673
196305,España,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,C,
195382,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,0,0.0
194406,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,C,
194354,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,0,0.0
194193,Bélgica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2012,1,2012-03-01,0,0.0
168970,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
167622,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
167388,Polonia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
166747,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,C,
166671,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
128945,Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
129215,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
130156,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
131165,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
131392,Costa Rica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
133017,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
135152,Polonia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
135386,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
136359,Uruguay,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,C,
136497,"Venezuela, República Bolivariana de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2010,1,2010-03-01,0,0.0
1966,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
421289,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
