period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1992,1101,217000,854627553,184779539480,9822734094946,0.013497749093499503,FALSE,11
1992,1102,2830000,127074388,184779539480,9822734094946,1.1838779070266527,TRUE,11
1992,1103,10000,183861385,184779539480,9822734094946,0.00289126553996085,FALSE,11
1992,1104,1000,156713087,184779539480,9822734094946,3.392135888306346e-4,FALSE,11
1992,1106,41000,133182993,184779539480,9822734094946,0.016364908956340213,FALSE,11
1992,1108,5440000,562919560,184779539480,9822734094946,0.5137254337005206,FALSE,11
1992,1109,19000,136411276,184779539480,9822734094946,0.0074042630061018685,FALSE,11
1993,1101,299000,929043682,207545660288,11315396833376,0.01754652771047189,FALSE,11
1993,1102,662000,156200986,207545660288,11315396833376,0.23106296981660446,FALSE,11
1993,1103,92000,262041324,207545660288,11315396833376,0.01914142097497432,FALSE,11
1993,1104,35000,182752303,207545660288,11315396833376,0.010441462145250338,FALSE,11
1993,1106,39000,125723382,207545660288,11315396833376,0.016912378295832486,FALSE,11
1993,1108,6660000,540852402,207545660288,11315396833376,0.6713540278725708,FALSE,11
1993,1109,51000,138228802,207545660288,11315396833376,0.020115357918434152,FALSE,11
1994,1101,1543328,1531968823,242474249720,15033279859979,0.062459201333410645,FALSE,11
1994,1102,12731267,232617159,242474249720,15033279859979,3.393266715601084,TRUE,11
1994,1103,190594,481827463,242474249720,15033279859979,0.02452481798007784,FALSE,11
1994,1104,2834,229951761,242474249720,15033279859979,7.641018027178214e-4,FALSE,11
1994,1105,2,162823550,242474249720,15033279859979,7.615543348820594e-7,FALSE,11
1994,1106,72395,168157832,242474249720,15033279859979,0.026691906269675,FALSE,11
1994,1107,2697,949261574,242474249720,15033279859979,1.7615020932690328e-4,FALSE,11
1994,1108,8918127,671773335,242474249720,15033279859979,0.8230742400593014,FALSE,11
1994,1109,45850,264953375,242474249720,15033279859979,0.010728969290969094,FALSE,11
1995,1101,3877000,2305942879,318162623824,18689760662247,0.09876471987733791,FALSE,11
1995,1102,4771000,198162722,318162623824,18689760662247,1.4143016165495923,TRUE,11
1995,1103,276000,472104530,318162623824,18689760662247,0.034341992955393814,FALSE,11
1995,1104,79000,262989625,318162623824,18689760662247,0.017645869206763712,FALSE,11
1995,1105,22000,224752603,318162623824,18689760662247,0.005750062045602262,FALSE,11
1995,1106,80000,154757677,318162623824,18689760662247,0.030366334052350005,FALSE,11
1995,1108,10687000,866787686,318162623824,18689760662247,0.7242652641384532,FALSE,11
