period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1992,22,305103008,10105757849,184779539480,9822734094946,1.6049300514418718,TRUE,22
1992,2201,1755000,271839936,184779539480,9822734094946,0.34319611962675545,FALSE,22
1992,2202,18022000,1342253632,184779539480,9822734094946,0.7137512878299519,FALSE,22
1992,2203,189783008,2583563991,184779539480,9822734094946,3.9049601856811145,TRUE,22
1992,2204,1376000,2724815577,184779539480,9822734094946,0.02684477868184343,FALSE,22
1992,2205,71000,52919595,184779539480,9822734094946,0.07132147959026934,FALSE,22
1992,2206,176000,111235681,184779539480,9822734094946,0.08410988847910729,FALSE,22
1992,2207,337000,325721430,184779539480,9822734094946,0.05499992222723923,FALSE,22
1992,2208,93578000,2659941079,184779539480,9822734094946,1.8701663984482892,TRUE,22
1992,2209,5000,33452873,184779539480,9822734094946,0.00794538762903824,FALSE,22
1993,22,297680000,14748102516,207545660288,11315396833376,1.1004482946576388,TRUE,22
1993,2201,2106000,286778006,207545660288,11315396833376,0.40037657364433543,FALSE,22
1993,2202,19848000,1546098712,207545660288,11315396833376,0.699899471213973,FALSE,22
1993,2203,196459008,2898837595,207545660288,11315396833376,3.694912806421043,TRUE,22
1993,2204,1579000,2601001656,207545660288,11315396833376,0.033097686178949336,FALSE,22
1993,2205,42000,75536421,207545660288,11315396833376,0.030314402961694253,FALSE,22
1993,2206,786000,152771935,207545660288,11315396833376,0.28050144259306914,FALSE,22
1993,2207,273000,440007688,207545660288,11315396833376,0.0338266130002442,FALSE,22
1993,2208,76578000,6706144497,207545660288,11315396833376,0.6225686465541097,FALSE,22
1993,2209,9000,40898817,207545660288,11315396833376,0.011997420912888074,FALSE,22
1994,22,423857696,28044152985,242474249720,15033279859979,0.9370566858327173,FALSE,22
1994,2201,2644081,893340659,242474249720,15033279859979,0.1835041003615834,FALSE,22
1994,2202,23935430,2690484010,242474249720,15033279859979,0.5515678410595305,FALSE,22
1994,2203,230080224,3739006529,242474249720,15033279859979,3.815146208932467,TRUE,22
1994,2204,1916780,8623930511,242474249720,15033279859979,0.013780187885390264,FALSE,22
1994,2205,42841,276649563,242474249720,15033279859979,0.009601027846254304,FALSE,22
1994,2206,807493,189278661,242474249720,15033279859979,0.2644997277803855,FALSE,22
1994,2207,477729,1052399567,242474249720,15033279859979,0.028144210017007135,FALSE,22
1994,2208,163948320,10482919009,242474249720,15033279859979,0.9696452146715308,FALSE,22
1994,2209,4808,96017756,242474249720,15033279859979,0.0031045669167421423,FALSE,22
1995,22,534748992,32843696558,318162623824,18689760662247,0.9564285331285873,FALSE,22
1995,2201,3426000,1188545234,318162623824,18689760662247,0.16932700396347264,FALSE,22
1995,2202,32188000,3181253268,318162623824,18689760662247,0.5943610307904288,FALSE,22
1995,2203,309620992,4869659987,318162623824,18689760662247,3.734963306230912,TRUE,22
1995,2204,3006000,10395468670,318162623824,18689760662247,0.016986327094986972,FALSE,22
1995,2205,21000,284854853,318162623824,18689760662247,0.004330621745450012,FALSE,22
1995,2206,518000,247623530,318162623824,18689760662247,0.12288317664010462,FALSE,22
1995,2207,5828000,1251605299,318162623824,18689760662247,0.2735311115358571,FALSE,22
1995,2208,179872000,11308182479,318162623824,18689760662247,0.9343838769357703,FALSE,22
1995,2209,269000,116477728,318162623824,18689760662247,0.13566379748784752,FALSE,22
1996,22,638395584,35062578861,382644673469,19955898450558,0.9495582948082857,FALSE,22
1996,2201,4256805,1246406041,382644673469,19955898450558,0.17811472466422895,FALSE,22
1996,2202,46555296,3157583629,382644673469,19955898450558,0.7689353793547863,FALSE,22
1996,2203,371531008,5128828837,382644673469,19955898450558,3.7779175296347627,TRUE,22
1996,2204,2470688,11681196233,382644673469,19955898450558,0.011030779396176025,FALSE,22
1996,2205,18971,345527690,382644673469,19955898450558,0.0028634063280246454,FALSE,22
1996,2206,390682,276095020,382644673469,19955898450558,0.07379729481189531,FALSE,22
1996,2207,15371187,1780437509,382644673469,19955898450558,0.45025265668920816,FALSE,22
1996,2208,197745856,11300802074,382644673469,19955898450558,0.912585860501864,FALSE,22
1996,2209,55096,145656204,382644673469,19955898450558,0.019727256688879154,FALSE,22
1997,22,815365504,34585258060,440187616975,20833416309207,1.115793903806182,TRUE,22
1997,2201,4344528,1312002756,440187616975,20833416309207,0.15672220178834304,FALSE,22
1997,2202,62401696,3116779005,440187616975,20833416309207,0.9475738233724804,FALSE,22
1997,2203,486072608,4517293513,440187616975,20833416309207,5.092669691391685,TRUE,22
1997,2204,3434064,12393800534,440187616975,20833416309207,0.013113739540297308,FALSE,22
1997,2205,41050,300900204,440187616975,20833416309207,0.006456740771491922,FALSE,22
1997,2206,401654,273611138,440187616975,20833416309207,0.06947699003724393,FALSE,22
1997,2207,42556408,1295859633,440187616975,20833416309207,1.554281485192795,TRUE,22
1997,2208,216075952,11139857494,440187616975,20833416309207,0.91801435248645,FALSE,22
1997,2209,37577,149970608,440187616975,20833416309207,0.011858742087766277,FALSE,22
1998,22,983420288,34633115987,469301386869,21012298624726,1.2713622819933732,TRUE,22
1998,2201,6689162,1371825199,469301386869,21012298624726,0.2183205740063405,FALSE,22
1998,2202,60804784,3030067943,469301386869,21012298624726,0.898477301710893,FALSE,22
1998,2203,615488896,4504112476,469301386869,21012298624726,6.118327525087963,TRUE,22
1998,2204,3545710,13976613898,469301386869,21012298624726,0.011358552008037067,FALSE,22
1998,2205,17403,290349504,469301386869,21012298624726,0.0026836431016623685,FALSE,22
